V_bias/mV,Current,Temperature
-1300,-1.449628e-10,1200.0
-1200,-1.3499505e-10,1200.0
-1100,-1.2452380000000002e-10,1200.0
-1000,-1.139304e-10,1200.0
-900,-1.0316529999999999e-10,1200.0
-800,-9.209115000000001e-11,1200.0
-700,-8.094085e-11,1200.0
-600,-6.95499e-11,1200.0
-500,-5.835374999999999e-11,1200.0
-400,-4.6768500000000004e-11,1200.0
-300,-3.5152575e-11,1200.0
-200,-2.368941e-11,1200.0
-100,-1.2008735e-11,1200.0
0,1.1596745e-12,1200.0
100,1.125345e-11,1200.0
200,2.265945e-11,1200.0
300,3.4393445e-11,1200.0
400,4.618867e-11,1200.0
500,5.74497e-11,1200.0
600,6.89585e-11,1200.0
700,8.061655e-11,1200.0
800,9.186225e-11,1200.0
900,1.0376045e-10,1200.0
1000,1.151014e-10,1200.0
1100,1.2625945e-10,1200.0
1200,1.375852e-10,1200.0
1300,1.4859450000000001e-10,1200.0
1400,1.5939065e-10,1200.0
1500,1.7036175e-10,1200.0
1600,1.8077975e-10,1200.0
